unique_key,created_date,closed_date,complaint_type,descriptor,agency,borough,resolution_description,status,resolution_hours
64513527,2025-04-01T00:00:00.000,2025-04-09T10:04:00.000,Street Light Condition,Street Light Out,DOT,BROOKLYN,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",Closed,202.1
64514152,2025-04-01T00:00:06.000,2025-04-01T02:02:43.000,Noise - Residential,Loud Music/Party,NYPD,BRONX,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,2.0
64513390,2025-04-01T00:01:44.000,2025-04-01T00:41:15.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.7
64514654,2025-04-01T00:02:59.000,2025-04-01T00:26:24.000,Noise - Residential,Banging/Pounding,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,0.4
64518875,2025-04-01T00:03:49.000,2025-04-01T08:42:12.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,8.6
64518923,2025-04-01T00:04:08.000,2025-04-01T01:50:39.000,Illegal Parking,Blocked Hydrant,NYPD,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,1.8
64521576,2025-04-01T00:04:27.000,2025-04-01T01:36:42.000,Noise - Residential,Banging/Pounding,NYPD,MANHATTAN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.5
64513488,2025-04-01T00:04:31.000,2025-04-01T00:41:33.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.6
64517759,2025-04-01T00:05:46.000,2025-04-01T03:20:28.000,Illegal Parking,Blocked Sidewalk,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,3.2
64520175,2025-04-01T00:07:37.000,2025-04-01T05:41:51.000,Illegal Parking,Commercial Overnight Parking,NYPD,QUEENS,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,5.6
64516630,2025-04-01T00:08:04.000,2025-04-01T02:26:05.000,Noise - Residential,Loud Talking,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,2.3
64515752,2025-04-01T00:09:41.000,2025-04-01T00:26:10.000,Noise - Residential,Banging/Pounding,NYPD,BROOKLYN,The Police Department responded to the complaint and determined that police action was not necessary.,Closed,0.3
64515338,2025-04-01T00:10:44.000,2025-04-01T13:06:01.000,Noise - Residential,Loud Music/Party,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,12.9
64514649,2025-04-01T00:10:56.000,2025-04-01T00:43:13.000,Noise - Residential,Banging/Pounding,NYPD,BROOKLYN,The Police Department responded to the complaint and took action to fix the condition.,Closed,0.5
64515842,2025-04-01T00:11:34.000,2025-04-01T01:47:17.000,Noise - Residential,Banging/Pounding,NYPD,MANHATTAN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,1.6
64513053,2025-04-01T00:12:34.000,2025-04-01T02:08:53.000,Noise - Residential,Banging/Pounding,NYPD,BRONX,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,1.9
64514536,2025-04-01T00:12:38.000,2025-04-01T00:41:45.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.5
64513987,2025-04-01T00:13:57.000,2025-04-01T01:13:55.000,Blocked Driveway,No Access,NYPD,BROOKLYN,The Police Department issued a summons in response to the complaint.,Closed,1.0
64514103,2025-04-01T00:14:21.000,2025-04-01T00:35:40.000,Illegal Parking,Parking Permit Improper Use,NYPD,BRONX,The Police Department issued a summons in response to the complaint.,Closed,0.4
64524760,2025-04-01T00:14:58.000,2026-01-30T00:00:00.000,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,DOB,BROOKLYN,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,Closed,7295.8
64514318,2025-04-01T00:15:04.000,2025-04-01T02:36:23.000,Noise - Residential,Banging/Pounding,NYPD,QUEENS,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,2.4
64514013,2025-04-01T00:15:56.000,2025-04-01T21:17:48.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,21.0
64518019,2025-04-01T00:16:00.000,2025-04-04T14:11:00.000,Street Light Condition,Street Light Out,DOT,QUEENS,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,Closed,85.9
64513477,2025-04-01T00:16:13.000,2025-04-01T00:42:00.000,Illegal Parking,Posted Parking Sign Violation,NYPD,BROOKLYN,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.4
64516641,2025-04-01T00:16:27.000,2025-04-01T04:29:43.000,Illegal Parking,Blocked Hydrant,NYPD,BROOKLYN,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,4.2
64520045,2025-04-01T00:17:43.000,2025-04-01T04:47:05.000,Noise - Residential,Loud Talking,NYPD,BRONX,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,4.5
64514727,2025-04-01T00:17:54.000,2025-04-01T01:00:13.000,Noise - Residential,Banging/Pounding,NYPD,BRONX,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,Closed,0.7
64514698,2025-04-01T00:18:42.000,2025-04-01T00:27:24.000,Noise - Residential,Loud Music/Party,NYPD,QUEENS,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Closed,0.1
64515409,2025-04-01T00:18:51.000,2025-04-01T13:07:28.000,Blocked Driveway,Partial Access,NYPD,QUEENS,The Police Department responded and upon arrival those responsible for the condition were gone.,Closed,12.8
64515651,2025-04-01T00:19:30.000,2025-04-01T01:47:23.000,Illegal Parking,Blocked Hydrant,NYPD,BROOKLYN,The Police Department issued a summons in response to the complaint.,Closed,1.5
64519986,2025-04-01T00:20:20.000,2025-04-01T01:55:25.000,Blocked Driveway,No Access,NYPD,BRONX,The Police Department issued a summons in response to the complaint.,Closed,1.6
